NAME,GEO_ID,Population 1800,Population 1810,Population 1820,Population 1830,Population 1840,Population 1850,Population 1860,Population 1870,Population 1880,Population 1890,Population 1900,Population 1910,Population 1920,Population 1930,Population 1940,Population 1950,Population 1960,Population 1970,Population 1980,Population 1990,Population 2000,Population 2010,Population 2020,Projected Population 2017,Projected Population 2020,Projected Population 2025,Projected Population 2035,Projected Population 2045,Projected Employment 2017,Projected Employment 2020,Projected Employment 2025,Projected Employment 2035,Projected Employment 2045,Projected Households 2017,Projected Households 2020,Projected Households 2025,Projected Households 2035,Projected Households 2045
"Adams city, Tennessee",1600000US4700200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,672.0,0.0,0.0,0.0,0.0,458.0,600.0,587.0,566.0,633.0,624.0,728.0,756.0,801.0,876.0,995.0,243.0,268.0,313.0,428.0,589.0,228.0,237.0,249.0,274.0,309.0
"Ashland City town, Tennessee",1600000US4702180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,649.0,712.0,957.0,1024.0,1400.0,2027.0,2329.0,2552.0,3641.0,4541.0,5193.0,4701.0,5356.0,6315.0,7850.0,9431.0,7858.0,8044.0,8395.0,9019.0,9538.0,2070.0,2346.0,2737.0,3428.0,4101.0
"Belle Meade city, Tennessee",1600000US4704620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2061.0,2831.0,3082.0,0.0,3182.0,2839.0,2943.0,2912.0,2901.0,2615.0,2695.0,2790.0,2875.0,2959.0,1842.0,1867.0,1924.0,2006.0,2102.0,1021.0,1049.0,1081.0,1114.0,1146.0
"Berry Hill city, Tennessee",1600000US4705140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248.0,1551.0,0.0,1113.0,802.0,674.0,537.0,2112.0,886.0,1035.0,1280.0,1702.0,2242.0,8220.0,8929.0,10255.0,12487.0,14661.0,536.0,612.0,726.0,913.0,1171.0
"Brentwood city, Tennessee",1600000US4708280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9431.0,16392.0,23445.0,37060.0,45373.0,39849.0,41428.0,43876.0,48343.0,52655.0,70273.0,73113.0,78736.0,90116.0,101904.0,13277.0,13804.0,14596.0,16051.0,17507.0
"Burns town, Tennessee",1600000US4709880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,257.0,777.0,1127.0,1366.0,1468.0,1573.0,1610.0,1702.0,1798.0,1958.0,2103.0,584.0,607.0,652.0,724.0,791.0,602.0,636.0,670.0,725.0,780.0
"Cedar Hill city, Tennessee",1600000US4711980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,420.0,347.0,298.0,314.0,301.0,294.0,310.0,325.0,354.0,400.0,164.0,173.0,195.0,231.0,286.0,108.0,114.0,119.0,130.0,149.0
"Charlotte town, Tennessee",1600000US4713080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,200.0,291.0,470.0,478.0,551.0,610.0,788.0,854.0,1153.0,1235.0,1656.0,1247.0,1308.0,1418.0,1551.0,1720.0,5002.0,5039.0,5101.0,5173.0,5187.0,507.0,536.0,592.0,655.0,738.0
"Cheatham County, Tennessee",0500000US47021,0.0,0.0,0.0,0.0,0.0,0.0,7258.0,6678.0,7956.0,8845.0,10112.0,10540.0,10039.0,9025.0,9928.0,9167.0,9428.0,13199.0,21616.0,27140.0,35912.0,39105.0,41072.0,38688.0,41240.0,45070.0,51373.0,58015.0,14999.0,15598.0,16641.0,18551.0,20304.0,14671.0,15668.0,17101.0,19514.0,22019.0
"Clarksville city, Tennessee",1600000US4715160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9431.0,8548.0,8110.0,9242.0,11831.0,16246.0,22021.0,31719.0,54777.0,75494.0,103455.0,132929.0,166722.0,141695.0,153380.0,169770.0,195661.0,218730.0,64572.0,68810.0,76417.0,92532.0,110162.0,53533.0,58101.0,64535.0,74855.0,84382.0
"Columbia city, Tennessee",1600000US4716540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6052.0,5754.0,5526.0,7882.0,10579.0,10911.0,17624.0,21471.0,26372.0,28583.0,33055.0,34681.0,41690.0,37473.0,40066.0,43898.0,49468.0,55009.0,32154.0,33844.0,36930.0,42917.0,48483.0,14954.0,16010.0,17564.0,19828.0,22151.0
"Coopertown town, Tennessee",1600000US4716980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3027.0,4278.0,4480.0,4249.0,4442.0,4811.0,5466.0,6278.0,1009.0,1064.0,1186.0,1428.0,1697.0,1452.0,1513.0,1629.0,1859.0,2113.0
"Cross Plains city, Tennessee",1600000US4718420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,1025.0,1381.0,1714.0,1789.0,1908.0,1959.0,1995.0,2131.0,2306.0,415.0,474.0,564.0,752.0,979.0,667.0,685.0,699.0,746.0,801.0
"Cumberland City town, Tennessee",1600000US4718820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,314.0,416.0,276.0,319.0,316.0,311.0,305.0,406.0,408.0,413.0,416.0,421.0,763.0,774.0,783.0,788.0,789.0,180.0,181.0,184.0,186.0,188.0
"Davidson County, Tennessee",0500000US47037,9965.0,15608.0,20154.0,28122.0,30509.0,38882.0,47055.0,62897.0,79026.0,108174.0,122815.0,149478.0,167815.0,222854.0,257267.0,321758.0,399743.0,448003.0,477811.0,510784.0,569891.0,626681.0,715884.0,638443.0,663737.0,695114.0,735884.0,776083.0,638807.0,663935.0,708262.0,794173.0,864682.0,273497.0,284409.0,297798.0,315192.0,332379.0
"Dickson city, Tennessee",1600000US4720620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363.0,1850.0,2263.0,2902.0,3504.0,3348.0,5028.0,5665.0,7040.0,8791.0,12244.0,14538.0,16058.0,14453.0,15292.0,16431.0,17934.0,19474.0,15439.0,16364.0,17881.0,20277.0,22024.0,5980.0,6323.0,6774.0,7444.0,8097.0
"Dickson County, Tennessee",0500000US47043,0.0,4516.0,5190.0,7265.0,7074.0,8404.0,9982.0,9340.0,12460.0,13645.0,18635.0,19955.0,19342.0,18491.0,19718.0,18805.0,18839.0,21977.0,30037.0,35061.0,43156.0,49666.0,54315.0,,,,,,,,,,,,,,,
"Dover city, Tennessee",1600000US4721400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,1179.0,1197.0,1341.0,1442.0,1417.0,1826.0,1743.0,1779.0,1827.0,1888.0,1938.0,2428.0,2523.0,2680.0,2888.0,3052.0,718.0,734.0,756.0,783.0,806.0
"Eagleville city, Tennessee",1600000US4722360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,363.0,437.0,444.0,462.0,464.0,604.0,813.0,788.0,845.0,954.0,1294.0,1818.0,734.0,803.0,916.0,1090.0,1277.0,300.0,323.0,365.0,487.0,675.0
"Erin city, Tennessee",1600000US4724320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.0,855.0,819.0,905.0,858.0,1097.0,1157.0,1614.0,1586.0,1490.0,1324.0,1224.0,1087.0,1151.0,1214.0,1336.0,1421.0,1311.0,1388.0,1537.0,1772.0,1921.0,463.0,488.0,515.0,566.0,604.0
"Fairview city, Tennessee",1600000US4725440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,1630.0,3648.0,4210.0,5800.0,7720.0,9357.0,8590.0,9889.0,12194.0,18667.0,31973.0,3377.0,4131.0,5800.0,10779.0,19300.0,3002.0,3463.0,4321.0,6706.0,11717.0
"Forest Hills city, Tennessee",1600000US4727020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2101.0,0.0,4516.0,4231.0,4710.0,4812.0,5038.0,4922.0,5219.0,5637.0,6134.0,6638.0,812.0,828.0,854.0,913.0,955.0,1851.0,1963.0,2113.0,2282.0,2460.0
"Franklin city, Tennessee",1600000US4727740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180.0,2924.0,3123.0,3377.0,4120.0,5475.0,6977.0,9404.0,12407.0,20098.0,41842.0,62487.0,83454.0,74514.0,79877.0,87923.0,102761.0,123341.0,104988.0,116541.0,137300.0,183621.0,231977.0,28426.0,30510.0,33657.0,39205.0,46792.0
"Gallatin city, Tennessee",1600000US4728540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2409.0,2399.0,2757.0,3050.0,4829.0,5107.0,7901.0,13093.0,17191.0,18794.0,23230.0,30278.0,44431.0,33637.0,35891.0,39404.0,45303.0,50489.0,28626.0,30403.0,33452.0,39537.0,45859.0,13319.0,14264.0,15708.0,18191.0,20394.0
"Goodlettsville city, Tennessee",1600000US4729920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,3163.0,0.0,8327.0,11219.0,13780.0,15921.0,17789.0,16715.0,17962.0,19639.0,21861.0,23964.0,17216.0,18048.0,19758.0,22337.0,24856.0,7087.0,7582.0,8251.0,9143.0,9995.0
"Greenbrier town, Tennessee",1600000US4730960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,518.0,631.0,795.0,890.0,1238.0,2279.0,3180.0,2873.0,4940.0,6433.0,6898.0,6763.0,7096.0,7529.0,8313.0,8993.0,1780.0,1894.0,2120.0,2636.0,3211.0,2505.0,2641.0,2812.0,3115.0,3393.0
"Hartsville/Trousdale County, Tennessee",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,1015.0,1095.0,1130.0,1712.0,2243.0,2674.0,2188.0,2395.0,7870.0,11615.0,,,,,,,,,,,,,,,
"Hendersonville city, Tennessee",1600000US4733280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,26561.0,32188.0,40620.0,51372.0,61753.0,54634.0,58220.0,62769.0,70090.0,76090.0,34095.0,35895.0,39078.0,44811.0,50552.0,21298.0,22645.0,24433.0,27346.0,29763.0
"HISTORIC NASHVILLE, Tennessee",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80865.0,110364.0,118342.0,153866.0,167402.0,174307.0,170874.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
"Houston County, Tennessee",0500000US47083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4295.0,5390.0,6476.0,6224.0,6212.0,5555.0,6432.0,5318.0,4794.0,5845.0,6871.0,7018.0,8088.0,8426.0,8283.0,7522.0,7958.0,8596.0,9631.0,10608.0,2606.0,2728.0,2954.0,3365.0,3719.0,2999.0,3188.0,3444.0,3840.0,4230.0
"Humphreys County, Tennessee",0500000US47085,0.0,1511.0,4067.0,6187.0,5195.0,6422.0,9096.0,9326.0,11379.0,11720.0,13398.0,13908.0,13482.0,12039.0,12421.0,11030.0,11511.0,13560.0,15957.0,15795.0,17929.0,18538.0,18990.0,17192.0,17802.0,18499.0,19284.0,19998.0,8813.0,9027.0,9419.0,10092.0,10660.0,7064.0,7324.0,7622.0,7949.0,8247.0
"Kingston Springs town, Tennessee",1600000US4739660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,1017.0,1529.0,2773.0,2756.0,2824.0,2889.0,3094.0,3359.0,3845.0,4370.0,1716.0,1835.0,2031.0,2409.0,2676.0,1054.0,1125.0,1222.0,1393.0,1565.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,0.0,0.0,0.0,0.0,0.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,0.0,0.0,0.0,0.0,0.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,0.0,0.0,0.0,0.0,0.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,0.0,0.0,0.0,0.0,0.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,0.0,0.0,0.0,0.0,0.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,0.0,0.0,0.0,0.0,0.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,11.0,27.0
"Lebanon city, Tennessee",1600000US4741520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.0,3569.0,4084.0,4656.0,5950.0,7913.0,10512.0,12492.0,11872.0,15208.0,20235.0,26190.0,38431.0,30343.0,34668.0,39220.0,45861.0,51373.0,40028.0,43153.0,48343.0,60202.0,73563.0,11783.0,13538.0,15449.0,18202.0,20476.0
"Maury County, Tennessee",0500000US47119,0.0,10359.0,22141.0,27665.0,28186.0,29520.0,32498.0,36289.0,39904.0,38112.0,42703.0,40456.0,35403.0,34016.0,40357.0,40368.0,41699.0,43376.0,51095.0,54812.0,69498.0,80956.0,100974.0,85619.0,90290.0,96720.0,106883.0,117152.0,49375.0,51383.0,54926.0,61867.0,68147.0,33332.0,35142.0,37634.0,41564.0,45587.0
"McEwen city, Tennessee",1600000US4744840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0,635.0,620.0,617.0,710.0,979.0,0.0,1352.0,1442.0,1702.0,1750.0,1643.0,1869.0,1909.0,1963.0,2039.0,2085.0,620.0,647.0,696.0,779.0,841.0,741.0,758.0,782.0,811.0,825.0
