NAME,Year,Series,Series Code,Permits,GEO_ID
"Cheatham County, Tennessee",2021,Total Units,1,407,0500000US47021
"Cheatham County, Tennessee",2021,Units in Single-Family Structures,2,260,0500000US47021
"Cheatham County, Tennessee",2021,Units in All Multi-Family Structures,3,147,0500000US47021
"Davidson County, Tennessee",2021,Total Units,1,16310,0500000US47037
"Davidson County, Tennessee",2021,Units in Single-Family Structures,2,4105,0500000US47037
"Davidson County, Tennessee",2021,Units in All Multi-Family Structures,3,12205,0500000US47037
"Dickson County, Tennessee",2021,Total Units,1,617,0500000US47043
"Dickson County, Tennessee",2021,Units in Single-Family Structures,2,473,0500000US47043
"Dickson County, Tennessee",2021,Units in All Multi-Family Structures,3,144,0500000US47043
"Houston County, Tennessee",2021,Total Units,1,1,0500000US47083
"Houston County, Tennessee",2021,Units in Single-Family Structures,2,1,0500000US47083
"Houston County, Tennessee",2021,Units in All Multi-Family Structures,3,0,0500000US47083
"Humphreys County, Tennessee",2021,Total Units,1,20,0500000US47085
"Humphreys County, Tennessee",2021,Units in Single-Family Structures,2,20,0500000US47085
"Humphreys County, Tennessee",2021,Units in All Multi-Family Structures,3,0,0500000US47085
"Maury County, Tennessee",2021,Total Units,1,2397,0500000US47119
"Maury County, Tennessee",2021,Units in Single-Family Structures,2,1686,0500000US47119
"Maury County, Tennessee",2021,Units in All Multi-Family Structures,3,711,0500000US47119
"Montgomery County, Tennessee",2021,Total Units,1,4008,0500000US47125
"Montgomery County, Tennessee",2021,Units in Single-Family Structures,2,2119,0500000US47125
"Montgomery County, Tennessee",2021,Units in All Multi-Family Structures,3,1889,0500000US47125
"Robertson County, Tennessee",2021,Total Units,1,937,0500000US47147
"Robertson County, Tennessee",2021,Units in Single-Family Structures,2,905,0500000US47147
"Robertson County, Tennessee",2021,Units in All Multi-Family Structures,3,32,0500000US47147
"Rutherford County, Tennessee",2021,Total Units,1,3963,0500000US47149
"Rutherford County, Tennessee",2021,Units in Single-Family Structures,2,3488,0500000US47149
"Rutherford County, Tennessee",2021,Units in All Multi-Family Structures,3,475,0500000US47149
"Stewart County, Tennessee",2021,Total Units,1,3,0500000US47161
"Stewart County, Tennessee",2021,Units in Single-Family Structures,2,3,0500000US47161
"Stewart County, Tennessee",2021,Units in All Multi-Family Structures,3,0,0500000US47161
"Sumner County, Tennessee",2021,Total Units,1,1842,0500000US47165
"Sumner County, Tennessee",2021,Units in Single-Family Structures,2,1775,0500000US47165
"Sumner County, Tennessee",2021,Units in All Multi-Family Structures,3,67,0500000US47165
"Trousdale County, Tennessee",2021,Total Units,1,105,0500000US47169
"Trousdale County, Tennessee",2021,Units in Single-Family Structures,2,105,0500000US47169
"Trousdale County, Tennessee",2021,Units in All Multi-Family Structures,3,0,0500000US47169
"Williamson County, Tennessee",2021,Total Units,1,2980,0500000US47187
"Williamson County, Tennessee",2021,Units in Single-Family Structures,2,2073,0500000US47187
"Williamson County, Tennessee",2021,Units in All Multi-Family Structures,3,907,0500000US47187
"Wilson County, Tennessee",2021,Total Units,1,2371,0500000US47189
"Wilson County, Tennessee",2021,Units in Single-Family Structures,2,2371,0500000US47189
"Wilson County, Tennessee",2021,Units in All Multi-Family Structures,3,0,0500000US47189
Cheatham Unincorporated,2021,Total Units,1,100,None
Cheatham Unincorporated,2021,Units in Single-Family Structures,2,100,None
Cheatham Unincorporated,2021,Units in All Multi-Family Structures,3,0,None
Dickson Unincorporated,2021,Total Units,1,290,None
Dickson Unincorporated,2021,Units in Single-Family Structures,2,290,None
Dickson Unincorporated,2021,Units in All Multi-Family Structures,3,0,None
Montgomery Unincorporated,2021,Total Units,1,743,None
Montgomery Unincorporated,2021,Units in Single-Family Structures,2,667,None
Montgomery Unincorporated,2021,Units in All Multi-Family Structures,3,76,None
Rutherford Unincorporated,2021,Total Units,1,1018,None
Rutherford Unincorporated,2021,Units in Single-Family Structures,2,1018,None
Rutherford Unincorporated,2021,Units in All Multi-Family Structures,3,0,None
Wilson Unincorporated,2021,Total Units,1,504,None
Wilson Unincorporated,2021,Units in Single-Family Structures,2,504,None
Wilson Unincorporated,2021,Units in All Multi-Family Structures,3,0,None
"Adams city, Tennessee",2021,Total Units,1,0,1600000US4700200
"Adams city, Tennessee",2021,Units in Single-Family Structures,2,0,1600000US4700200
"Adams city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4700200
"Ashland City town, Tennessee",2021,Total Units,1,193,1600000US4702180
"Ashland City town, Tennessee",2021,Units in Single-Family Structures,2,46,1600000US4702180
"Ashland City town, Tennessee",2021,Units in All Multi-Family Structures,3,147,1600000US4702180
"Belle Meade city, Tennessee",2021,Total Units,1,14,1600000US4704620
"Belle Meade city, Tennessee",2021,Units in Single-Family Structures,2,14,1600000US4704620
"Belle Meade city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4704620
"Berry Hill city, Tennessee",2021,Total Units,1,0,1600000US4705140
"Berry Hill city, Tennessee",2021,Units in Single-Family Structures,2,0,1600000US4705140
"Berry Hill city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4705140
"Brentwood city, Tennessee",2021,Total Units,1,147,1600000US4708280
"Brentwood city, Tennessee",2021,Units in Single-Family Structures,2,147,1600000US4708280
"Brentwood city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4708280
"Burns town, Tennessee",2021,Total Units,1,51,1600000US4709880
"Burns town, Tennessee",2021,Units in Single-Family Structures,2,51,1600000US4709880
"Burns town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4709880
"Charlotte town, Tennessee",2021,Total Units,1,0,1600000US4713080
"Charlotte town, Tennessee",2021,Units in Single-Family Structures,2,0,1600000US4713080
"Charlotte town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4713080
"Clarksville city, Tennessee",2021,Total Units,1,3265,1600000US4715160
"Clarksville city, Tennessee",2021,Units in Single-Family Structures,2,1452,1600000US4715160
"Clarksville city, Tennessee",2021,Units in All Multi-Family Structures,3,1813,1600000US4715160
"Columbia city, Tennessee",2021,Total Units,1,1212,1600000US4716540
"Columbia city, Tennessee",2021,Units in Single-Family Structures,2,796,1600000US4716540
"Columbia city, Tennessee",2021,Units in All Multi-Family Structures,3,416,1600000US4716540
"Coopertown town, Tennessee",2021,Total Units,1,34,1600000US4716980
"Coopertown town, Tennessee",2021,Units in Single-Family Structures,2,34,1600000US4716980
"Coopertown town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4716980
"Cross Plains city, Tennessee",2021,Total Units,1,12,1600000US4718420
"Cross Plains city, Tennessee",2021,Units in Single-Family Structures,2,12,1600000US4718420
"Cross Plains city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4718420
"Cumberland City town, Tennessee",2021,Total Units,1,0,1600000US4718820
"Cumberland City town, Tennessee",2021,Units in Single-Family Structures,2,0,1600000US4718820
"Cumberland City town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4718820
"Dickson city, Tennessee",2021,Total Units,1,230,1600000US4720620
"Dickson city, Tennessee",2021,Units in Single-Family Structures,2,86,1600000US4720620
"Dickson city, Tennessee",2021,Units in All Multi-Family Structures,3,144,1600000US4720620
"Dover city, Tennessee",2021,Total Units,1,3,1600000US4721400
"Dover city, Tennessee",2021,Units in Single-Family Structures,2,3,1600000US4721400
"Dover city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4721400
"Eagleville city, Tennessee",2021,Total Units,1,13,1600000US4722360
"Eagleville city, Tennessee",2021,Units in Single-Family Structures,2,13,1600000US4722360
"Eagleville city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4722360
"Erin city, Tennessee",2021,Total Units,1,1,1600000US4724320
"Erin city, Tennessee",2021,Units in Single-Family Structures,2,1,1600000US4724320
"Erin city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4724320
"Fairview city, Tennessee",2021,Total Units,1,153,1600000US4725440
"Fairview city, Tennessee",2021,Units in Single-Family Structures,2,145,1600000US4725440
"Fairview city, Tennessee",2021,Units in All Multi-Family Structures,3,8,1600000US4725440
"Forest Hills city, Tennessee",2021,Total Units,1,11,1600000US4727020
"Forest Hills city, Tennessee",2021,Units in Single-Family Structures,2,11,1600000US4727020
"Forest Hills city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4727020
"Franklin city, Tennessee",2021,Total Units,1,1180,1600000US4727740
"Franklin city, Tennessee",2021,Units in Single-Family Structures,2,293,1600000US4727740
"Franklin city, Tennessee",2021,Units in All Multi-Family Structures,3,887,1600000US4727740
"Gallatin city, Tennessee",2021,Total Units,1,778,1600000US4728540
"Gallatin city, Tennessee",2021,Units in Single-Family Structures,2,763,1600000US4728540
"Gallatin city, Tennessee",2021,Units in All Multi-Family Structures,3,15,1600000US4728540
"Goodlettsville city, Tennessee",2021,Total Units,1,119,1600000US4729920
"Goodlettsville city, Tennessee",2021,Units in Single-Family Structures,2,119,1600000US4729920
"Goodlettsville city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4729920
"Greenbrier town, Tennessee",2021,Total Units,1,10,1600000US4730960
"Greenbrier town, Tennessee",2021,Units in Single-Family Structures,2,10,1600000US4730960
"Greenbrier town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4730960
"Hendersonville city, Tennessee",2021,Total Units,1,454,1600000US4733280
"Hendersonville city, Tennessee",2021,Units in Single-Family Structures,2,454,1600000US4733280
"Hendersonville city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4733280
"Kingston Springs town, Tennessee",2021,Total Units,1,5,1600000US4739660
"Kingston Springs town, Tennessee",2021,Units in Single-Family Structures,2,5,1600000US4739660
"Kingston Springs town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4739660
"La Vergne city, Tennessee",2021,Total Units,1,103,1600000US4741200
"La Vergne city, Tennessee",2021,Units in Single-Family Structures,2,103,1600000US4741200
"La Vergne city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4741200
"La Vergne city, Tennessee",2021,Total Units,1,20,1600000US4741200
"La Vergne city, Tennessee",2021,Units in Single-Family Structures,2,8,1600000US4741200
"La Vergne city, Tennessee",2021,Units in All Multi-Family Structures,3,12,1600000US4741200
"Lebanon city, Tennessee",2021,Total Units,1,1258,1600000US4741520
"Lebanon city, Tennessee",2021,Units in Single-Family Structures,2,1258,1600000US4741520
"Lebanon city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4741520
"McEwen city, Tennessee",2021,Total Units,1,11,1600000US4744840
"McEwen city, Tennessee",2021,Units in Single-Family Structures,2,11,1600000US4744840
"McEwen city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4744840
"Millersville city, Tennessee",2021,Total Units,1,6,1600000US4748980
"Millersville city, Tennessee",2021,Units in Single-Family Structures,2,6,1600000US4748980
"Millersville city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4748980
"Mitchellville city, Tennessee",2021,Total Units,1,0,1600000US4749460
"Mitchellville city, Tennessee",2021,Units in Single-Family Structures,2,0,1600000US4749460
"Mitchellville city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4749460
"Mount Juliet city, Tennessee",2021,Total Units,1,609,1600000US4750780
"Mount Juliet city, Tennessee",2021,Units in Single-Family Structures,2,609,1600000US4750780
"Mount Juliet city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4750780
"Mount Pleasant city, Tennessee",2021,Total Units,1,14,1600000US4751080
"Mount Pleasant city, Tennessee",2021,Units in Single-Family Structures,2,10,1600000US4751080
"Mount Pleasant city, Tennessee",2021,Units in All Multi-Family Structures,3,4,1600000US4751080
"Murfreesboro city, Tennessee",2021,Total Units,1,2376,1600000US4751560
"Murfreesboro city, Tennessee",2021,Units in Single-Family Structures,2,2064,1600000US4751560
"Murfreesboro city, Tennessee",2021,Units in All Multi-Family Structures,3,312,1600000US4751560
"New Johnsonville city, Tennessee",2021,Total Units,1,0,1600000US4752820
"New Johnsonville city, Tennessee",2021,Units in Single-Family Structures,2,0,1600000US4752820
"New Johnsonville city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4752820
"Nolensville town, Tennessee",2021,Total Units,1,521,1600000US4753460
"Nolensville town, Tennessee",2021,Units in Single-Family Structures,2,521,1600000US4753460
"Nolensville town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4753460
"Oak Hill city, Tennessee",2021,Total Units,1,29,1600000US4754780
"Oak Hill city, Tennessee",2021,Units in Single-Family Structures,2,29,1600000US4754780
"Oak Hill city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4754780
"Pegram town, Tennessee",2021,Total Units,1,5,1600000US4757480
"Pegram town, Tennessee",2021,Units in Single-Family Structures,2,5,1600000US4757480
"Pegram town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4757480
"Pleasant View city, Tennessee",2021,Total Units,1,104,1600000US4759560
"Pleasant View city, Tennessee",2021,Units in Single-Family Structures,2,104,1600000US4759560
"Pleasant View city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4759560
"Portland city, Tennessee",2021,Total Units,1,105,1600000US4760280
"Portland city, Tennessee",2021,Units in Single-Family Structures,2,53,1600000US4760280
"Portland city, Tennessee",2021,Units in All Multi-Family Structures,3,52,1600000US4760280
"Ridgetop city, Tennessee",2021,Total Units,1,7,1600000US4763140
"Ridgetop city, Tennessee",2021,Units in Single-Family Structures,2,7,1600000US4763140
"Ridgetop city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4763140
"Smyrna town, Tennessee",2021,Total Units,1,453,1600000US4769420
"Smyrna town, Tennessee",2021,Units in Single-Family Structures,2,290,1600000US4769420
"Smyrna town, Tennessee",2021,Units in All Multi-Family Structures,3,163,1600000US4769420
"Spring Hill city, Tennessee",2021,Total Units,1,926,1600000US4770580
"Spring Hill city, Tennessee",2021,Units in Single-Family Structures,2,635,1600000US4770580
"Spring Hill city, Tennessee",2021,Units in All Multi-Family Structures,3,291,1600000US4770580
"Springfield city, Tennessee",2021,Total Units,1,186,1600000US4770500
"Springfield city, Tennessee",2021,Units in Single-Family Structures,2,186,1600000US4770500
"Springfield city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4770500
"Tennessee Ridge town, Tennessee",2021,Total Units,1,0,1600000US4773460
"Tennessee Ridge town, Tennessee",2021,Units in Single-Family Structures,2,0,1600000US4773460
"Tennessee Ridge town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4773460
"Thompson's Station town, Tennessee",2021,Total Units,1,166,1600000US4773900
"Thompson's Station town, Tennessee",2021,Units in Single-Family Structures,2,154,1600000US4773900
"Thompson's Station town, Tennessee",2021,Units in All Multi-Family Structures,3,12,1600000US4773900
"Watertown city, Tennessee",2021,Total Units,1,0,1600000US4778320
"Watertown city, Tennessee",2021,Units in Single-Family Structures,2,0,1600000US4778320
"Watertown city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4778320
"Waverly city, Tennessee",2021,Total Units,1,9,1600000US4778560
"Waverly city, Tennessee",2021,Units in Single-Family Structures,2,9,1600000US4778560
"Waverly city, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4778560
"Westmoreland town, Tennessee",2021,Total Units,1,16,1600000US4779420
"Westmoreland town, Tennessee",2021,Units in Single-Family Structures,2,16,1600000US4779420
"Westmoreland town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4779420
"White Bluff town, Tennessee",2021,Total Units,1,46,1600000US4779980
"White Bluff town, Tennessee",2021,Units in Single-Family Structures,2,46,1600000US4779980
"White Bluff town, Tennessee",2021,Units in All Multi-Family Structures,3,0,1600000US4779980
"White House city, Tennessee",2021,Total Units,1,371,1600000US4780200
"White House city, Tennessee",2021,Units in Single-Family Structures,2,349,1600000US4780200
"White House city, Tennessee",2021,Units in All Multi-Family Structures,3,22,1600000US4780200
