PL_CO,Population,White Alone,White Alone %,Non-White Population: Race,Black or African American Alone,Black or African American Alone %,Black or African American Alone % Non-White Population,American Indian Alaska Native Alone,American Indian Alaska Native Alone %,American Indian Alaska Native Alone % Non-White Population,Asian Alone,Asian Alone %,Asian Alone % Non-White Population,Native Hawaiian Other Pacific Islander Alone,Native Hawaiian Other Pacific Islander Alone %,Native Hawaiian Other Pacific Islander Alone % Non-White Population,Some Other Race Alone,Some Other Race Alone %,Some Other Race Alone % Non-White Population,Two or More Races,Two or More Races %,Two or More Races % Non-White Population,Hispanic or Latino,Hispanic or Latino %,Not Hispanic or Latino,Not Hispanic or Latino %,Minority,Minority %,White Alone Not Hispanic or Latino,White Alone Not Hispanic or Latino %,Occupancy:Total Households,Occupancy:Occupied Units,Occupancy %:Occupied Units,Occupancy:Vacant Units,Occupancy %:Vacant Units,Group Quarters:Population,Group Quarters %:Population,Group Quarters:Institutionalized,Group Quarters %:Institutionalized,"Group Quarters:Institutionalized, Adults in Correctional Facility",Group Quarters % Institutionalized:Adults in Correctional Facility,Group Quarters %:Institutionalized Adults in Correctional Facility,"Group Quarters:Institutionalized, Juvenile Facility",Group Quarters % Institutionalized:Juvenile Facility,Group Quarters %:Institutionalized in Juvenile Facility,"Group Quarters:Institutionalized, Nursing or Skilled Nursing Facility",Group Quarters % Institutionalized:Nursing or Skilled Nursing Facility,Group Quarters %:Institutionalized in Nursing or Skilled Nursing Facility,"Group Quarters:Institutionalized, Other Facility",Group Quarters % Institutionalized:Other Facility,Group Quarters %:Institutionalized in Other Facility,Group Quarters:Noninstitutionalized,Group Quarters %:Noninstitutionalized,"Group Quarters:Noninstitutionalized, College or University Student Housing",Group Quarters % Noninstitutionalized:College or University Student Housing,Group Quarters %:Noninstitutionalized in College or University Student Housing,"Group Quarters:Noninstitutionalized, Military Quarters",Group Quarters % Noninstitutionalized:Military Quarters,Group Quarters %:Noninstitutionalized in Military Quarters,"Group Quarters:Noninstitutionalized, Other",Group Quarters % Noninstitutionalized:Other,Group Quarters %:Noninstitutionalized in Other,Square Miles,Square Acres,Population Per Square Mile,Housing Units Per Square Mile,Population Per Square Acre,Housing Units Per Square Acre,PLACE,COUNTY
"Adams city,Robertson ",624,553,88.62179487179486,71,22,3.5256410256410255,30.985915492957744,7,1.1217948717948718,9.859154929577464,2,0.3205128205128205,2.8169014084507045,0,0.0,0.0,11,1.7628205128205128,15.492957746478872,29,4.647435897435898,40.845070422535215,16,2.564102564102564,608,97.43589743589743,74,11.858974358974358,550,88.14102564102564,250,232,92.80000000000001,18,7.199999999999999,19,3.0448717948717947,19,100.0,0,0.0,0.0,0,0.0,0.0,19,100.0,100.0,0,0.0,0.0,0,0.0,0,,0.0,0,,0.0,0,,0.0,2.390552286866642,1529.95110171,261.0275472442783,104.57834424850894,0.4078561722022135,0.16340391514511757,Adams city,Robertson 
"Ashland City town,Cheatham",5193,4261,82.052763335259,932,310,5.969574427113422,33.261802575107296,17,0.3273637589062199,1.8240343347639485,33,0.635470826112074,3.5407725321888415,11,0.21182360870402464,1.1802575107296138,220,4.236472174080493,23.605150214592275,341,6.566531869824764,36.587982832618025,426,8.203350664355865,4767,91.79664933564413,1018,19.603312150972464,4175,80.39668784902754,2311,2145,92.81696235395933,166,7.183037646040676,235,4.525322549585981,146,62.12765957446808,80,54.794520547945204,34.04255319148936,0,0.0,0.0,66,45.20547945205479,28.085106382978726,0,0.0,0.0,89,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10.668072139125039,6827.555628900001,486.77961043727186,216.62770647420282,0.7605943154851531,0.3384813139006718,Ashland City town,Cheatham
"Belle Meade city,Davidson",2901,2773,95.58772836952775,128,6,0.2068252326783868,4.6875,1,0.03447087211306446,0.78125,23,0.7928300586004825,17.96875,0,0.0,0.0,5,0.1723543605653223,3.90625,93,3.205791106514995,72.65625,52,1.7924853498793518,2849,98.20751465012066,143,4.929334712168218,2758,95.07066528783177,1130,1073,94.95575221238937,57,5.04424778761062,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,3.0701534761578513,1964.895191405,944.9039022083226,368.0597757653928,1.4764146264339104,0.5750942874423711,Belle Meade city,Davidson
"Berry Hill city,Davidson",2112,1747,82.71780303030303,365,115,5.445075757575758,31.506849315068493,12,0.5681818181818182,3.287671232876712,66,3.125,18.08219178082192,0,0.0,0.0,33,1.5625,9.04109589041096,139,6.581439393939394,38.082191780821915,123,5.823863636363636,1989,94.17613636363636,412,19.507575757575758,1700,80.49242424242425,1657,1446,87.2661436330718,211,12.733856366928183,3,0.14204545454545456,0,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,3,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9057439262690542,579.67521793,2331.78488836217,1829.4353977349033,3.643419512639989,2.858497221801355,Berry Hill city,Davidson
"Bethpage CDP,Sumner",313,291,92.97124600638978,22,6,1.9169329073482428,27.27272727272727,1,0.3194888178913738,4.545454545454546,2,0.6389776357827476,9.090909090909092,0,0.0,0.0,4,1.2779552715654952,18.181818181818183,9,2.8753993610223643,40.909090909090914,21,6.7092651757188495,292,93.29073482428115,32,10.223642172523961,281,89.77635782747603,127,109,85.8267716535433,18,14.173228346456693,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,1.3283053255487722,850.114095975,235.6385945156759,95.61054793447552,0.3681858723222543,0.14939171177292745,Bethpage CDP,Sumner
"Big Rock CDP,Stewart",291,268,92.09621993127148,23,5,1.718213058419244,21.73913043478261,1,0.3436426116838488,4.3478260869565215,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,17,5.841924398625429,73.91304347826086,4,1.3745704467353952,287,98.62542955326461,25,8.59106529209622,266,91.40893470790378,136,128,94.11764705882352,8,5.88235294117647,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,1.7202611789245488,1100.9654548800002,169.16035981345792,79.05776266195971,0.2643134702457286,0.12352794485711029,Big Rock CDP,Stewart
"Bransford CDP,Sumner",166,139,83.73493975903614,27,1,0.6024096385542169,3.7037037037037033,0,0.0,0.0,1,0.6024096385542169,3.7037037037037033,0,0.0,0.0,8,4.819277108433735,29.629629629629626,17,10.240963855421686,62.96296296296296,11,6.626506024096386,155,93.37349397590361,28,16.867469879518072,138,83.13253012048193,72,62,86.11111111111111,10,13.88888888888889,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,4.029163284016146,2578.660520925,41.19962093830466,17.869715105770698,0.06437450709504544,0.02792147295688718,Bransford CDP,Sumner
"Brentwood city,Williamson",45373,37255,82.108302294316,8118,1443,3.1803054680096094,17.775314116777533,53,0.11680955634408127,0.6528701650652871,3658,8.062063341634893,45.06035969450603,9,0.019835585039560972,0.11086474501108648,359,0.7912194476891543,4.422271495442227,2596,5.721464306966698,31.978319783197833,1615,3.5593855376545527,43758,96.44061446234545,8547,18.83719392590307,36826,81.16280607409692,15279,14741,96.47882714837358,538,3.5211728516264156,125,0.27549423666056905,125,100.0,0,0.0,0.0,21,16.8,16.8,104,83.2,83.2,0,0.0,0.0,0,0.0,0,,0.0,0,,0.0,0,,0.0,41.10971999337491,26310.18017903,1103.7049147333562,371.6639277149615,1.7245415915533575,0.5807257835572642,Brentwood city,Williamson
"Burns town,Dickson",1573,1425,90.59122695486332,148,29,1.8436109345200253,19.594594594594593,10,0.6357279084551812,6.756756756756757,8,0.5085823267641449,5.405405405405405,2,0.12714558169103624,1.3513513513513513,22,1.3986013986013985,14.864864864864865,77,4.895104895104895,52.02702702702703,68,4.322949777495232,1505,95.67705022250476,176,11.188811188811188,1397,88.81118881118881,675,658,97.48148148148148,17,2.5185185185185186,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,3.37753905713347,2161.62165953,465.72370397250444,199.84965046499715,0.7276944108443177,0.3122655609153938,Burns town,Dickson
"Castalian Springs CDP,Sumner",608,557,91.61184210526315,51,6,0.9868421052631579,11.76470588235294,0,0.0,0.0,3,0.4934210526315789,5.88235294117647,1,0.1644736842105263,1.9607843137254901,8,1.3157894736842104,15.686274509803921,33,5.427631578947369,64.70588235294117,20,3.289473684210526,588,96.71052631578947,59,9.703947368421053,549,90.29605263157895,251,241,96.01593625498009,10,3.9840637450199203,6,0.9868421052631579,0,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.817481532121828,3723.1824328400003,104.5125793082221,43.14581810257195,0.16330115726728564,0.0674154448586985,Castalian Springs CDP,Sumner
"Cedar Hill city,Robertson ",301,239,79.40199335548172,62,22,7.308970099667775,35.483870967741936,2,0.6644518272425249,3.225806451612903,2,0.6644518272425249,3.225806451612903,0,0.0,0.0,16,5.3156146179401995,25.806451612903224,20,6.64451827242525,32.25806451612903,25,8.305647840531561,276,91.69435215946844,68,22.591362126245848,233,77.40863787375415,123,110,89.43089430894308,13,10.569105691056912,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,0.6440091340095948,412.16520948000004,467.3846753166012,190.991079946651,0.7302896825759521,0.2984240231124322,Cedar Hill city,Robertson 
"Charlotte town,Dickson",1656,1460,88.16425120772948,196,117,7.065217391304348,59.693877551020414,4,0.24154589371980675,2.0408163265306123,5,0.30193236714975846,2.5510204081632653,0,0.0,0.0,18,1.0869565217391304,9.183673469387756,52,3.140096618357488,26.53061224489796,49,2.9589371980676327,1607,97.04106280193237,208,12.560386473429952,1448,87.43961352657004,572,518,90.55944055944056,54,9.44055944055944,294,17.753623188405797,294,100.0,294,100.0,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,,0.0,0,,0.0,0,,0.0,4.058232529431217,2597.26480927,408.0594169975019,140.94805949430622,0.637593823351976,0.22023168294524773,Charlotte town,Dickson
"Christiana CDP,Rutherford",4305,3380,78.51335656213705,925,373,8.664343786295007,40.32432432432432,30,0.6968641114982579,3.2432432432432434,82,1.9047619047619049,8.864864864864865,0,0.0,0.0,146,3.391405342624855,15.783783783783784,294,6.829268292682928,31.783783783783782,283,6.573751451800232,4022,93.42624854819977,976,22.67131242740999,3329,77.32868757259001,1496,1448,96.79144385026738,48,3.2085561497326207,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,8.856359575130654,5668.06137793,486.0913746195192,168.9181640954241,0.7595189453597985,0.2639350388520926,Christiana CDP,Rutherford
"Clarksville city,Montgomery",166722,94978,56.96788666162834,71744,40657,24.386103813533907,56.66954727921498,914,0.5482179916267799,1.2739741302408565,4143,2.484974988303883,5.774698929527208,867,0.5200273509194947,1.208463425512935,6936,4.160218807355958,9.66770740410348,18227,10.932570386631637,25.405608831400535,19671,11.798682837298017,147051,88.20131716270198,77126,46.26024159978887,89596,53.73975840021114,65752,61128,92.96751429614308,4624,7.032485703856917,4296,2.576744520819088,1699,39.54841713221601,1084,63.80223660977046,25.232774674115454,32,1.883460859329017,0.74487895716946,583,34.314302530900534,13.570763500931099,0,0.0,0.0,2597,0.0,1450,55.83365421640354,33.75232774674116,962,37.04274162495187,22.39292364990689,962,37.04274162495187,22.39292364990689,99.40076866670957,63616.393737945,1677.2707317688687,661.483818303923,2.6207395641880913,1.0335700616864925,Clarksville city,Montgomery
"Columbia city,Maury",41690,27737,66.53154233629166,13953,7723,18.524826097385464,55.35010392030387,223,0.534900455744783,1.5982226044578225,432,1.0362197169585032,3.0961083637927325,21,0.0503717917965939,0.15050526768436895,2288,5.488126649076517,16.397907260087436,3266,7.834012952746463,23.407152583673764,4447,10.666826577116813,37243,89.33317342288318,14728,35.32741664667786,26962,64.67258335332214,18335,16821,91.74256885737661,1514,8.257431142623398,1059,2.5401775005996643,872,82.34183191690275,298,34.174311926605505,28.13975448536355,49,5.6192660550458715,4.627006610009444,444,50.917431192660544,41.92634560906516,81,9.288990825688073,7.64872521246459,187,7.64872521246459,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,33.09931642526185,21183.52980978,1259.5426281426653,553.9389322858184,1.9680383946566158,0.8655309178706897,Columbia city,Maury
"Coopertown town,Robertson ",4480,3937,87.87946428571428,543,143,3.1919642857142856,26.335174953959484,19,0.42410714285714285,3.4990791896869244,25,0.5580357142857143,4.6040515653775325,5,0.11160714285714285,0.9208103130755065,85,1.8973214285714284,15.65377532228361,266,5.9375,48.98710865561694,212,4.732142857142857,4268,95.26785714285714,611,13.638392857142856,3869,86.36160714285714,1665,1613,96.87687687687688,52,3.123123123123123,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,31.59965664513563,20223.749032175,141.7736923635099,52.690445934206245,0.22152173629491437,0.08232894886853402,Coopertown town,Robertson 
"Cottontown CDP,Sumner",397,359,90.42821158690177,38,3,0.7556675062972292,7.894736842105263,4,1.0075566750629723,10.526315789473683,0,0.0,0.0,0,0.0,0.0,3,0.7556675062972292,7.894736842105263,28,7.052896725440807,73.68421052631578,19,4.785894206549118,378,95.21410579345087,40,10.075566750629724,357,89.92443324937027,165,145,87.87878787878788,20,12.121212121212121,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,3.5098763441807996,2246.31739249,113.10939790178257,47.01020315817159,0.17673370705638933,0.07345355582948171,Cottontown CDP,Sumner
"Cross Plains city,Robertson ",1789,1546,86.4169927333706,243,83,4.639463387367244,34.15637860082305,1,0.05589714924538849,0.411522633744856,6,0.3353828954723309,2.4691358024691357,0,0.0,0.0,28,1.5651201788708775,11.522633744855968,125,6.987143655673561,51.440329218106996,69,3.8569032979318054,1720,96.14309670206819,253,14.141978759083287,1536,85.85802124091671,701,659,94.00855920114122,42,5.991440798858773,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,8.689242977845458,5561.10692078,205.88675038335637,80.67446172092387,0.32169854410011506,0.12605404103643414,Cross Plains city,Robertson 
"Cumberland City town,Stewart",305,269,88.19672131147541,36,10,3.278688524590164,27.77777777777778,0,0.0,0.0,1,0.32786885245901637,2.7777777777777777,0,0.0,0.0,3,0.9836065573770493,8.333333333333332,22,7.213114754098362,61.111111111111114,4,1.3114754098360655,301,98.68852459016394,36,11.80327868852459,269,88.19672131147541,164,130,79.26829268292683,34,20.73170731707317,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,5.005199424862179,3203.3226867350004,60.936632911164835,32.76592720469191,0.09521363591092738,0.05119684029308882,Cumberland City town,Stewart
"Dickson city,Dickson",16058,12709,79.14435172499688,3349,1240,7.722007722007722,37.025977903851896,102,0.6351974093909578,3.0456852791878175,170,1.0586623489849296,5.0761421319796955,1,0.0062274255822642914,0.029859659599880562,588,3.661726242371403,17.55747984472977,1248,7.771827126665837,37.26485518065094,1277,7.952422468551501,14781,92.0475775314485,3594,22.381367542657866,12464,77.61863245734213,6936,6597,95.11245674740483,339,4.887543252595155,414,2.578154191057417,288,69.56521739130434,0,0.0,0.0,0,0.0,0.0,105,36.45833333333333,25.36231884057971,183,63.541666666666664,44.20289855072464,126,44.20289855072464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,20.21964224161276,12940.551057465002,794.1782454959589,343.03277561090863,1.2409054242505877,0.5359895393325493,Dickson city,Dickson
"Dover city,Stewart",1826,1667,91.29244249726177,159,57,3.12157721796276,35.84905660377358,4,0.21905805038335158,2.515723270440252,9,0.49288061336254113,5.660377358490567,0,0.0,0.0,29,1.5881708652792992,18.238993710691823,60,3.285870755750274,37.735849056603776,57,3.12157721796276,1769,96.87842278203725,178,9.748083242059145,1648,90.25191675794085,746,667,89.41018766756032,79,10.589812332439678,235,12.869660460021906,235,100.0,167,71.06382978723404,71.06382978723404,0,0.0,0.0,68,28.936170212765955,28.936170212765955,0,0.0,0.0,0,0.0,0,,0.0,0,,0.0,0,,0.0,3.8261978735138995,2448.762858735,477.2361650818231,194.97162056464407,0.7456826590972099,0.30464362742963774,Dover city,Stewart
"Eagleville city,Rutherford",813,743,91.38991389913899,70,17,2.091020910209102,24.285714285714285,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,12,1.4760147601476015,17.142857142857142,41,5.043050430504305,58.57142857142858,39,4.797047970479705,774,95.20295202952029,84,10.33210332103321,729,89.66789667896678,326,301,92.33128834355828,25,7.668711656441718,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,2.8132549995363894,1800.4804201850002,288.98908919880296,115.88000378697387,0.45154614895310213,0.18106278543506923,Eagleville city,Rutherford
"Eagleville city,Williamson",0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,0.0006328214378634499,0.40500509500000004,0.0,0.0,0.0,0.0,Eagleville city,Williamson
"Erin city,Houston",1224,1063,86.84640522875817,161,86,7.026143790849673,53.41614906832298,4,0.32679738562091504,2.484472049689441,3,0.24509803921568626,1.8633540372670807,5,0.40849673202614384,3.1055900621118013,13,1.0620915032679739,8.074534161490684,50,4.084967320261438,31.05590062111801,31,2.5326797385620914,1193,97.4673202614379,170,13.88888888888889,1054,86.11111111111111,534,475,88.95131086142321,59,11.04868913857678,135,11.029411764705882,135,100.0,0,0.0,0.0,0,0.0,0.0,135,100.0,100.0,0,0.0,0.0,0,0.0,0,,0.0,0,,0.0,0,,0.0,3.896277345801517,2493.6136517600003,314.1460146103143,137.05389853097046,0.49085390559042574,0.2141470470468034,Erin city,Houston
"Fairfield CDP,Sumner",141,129,91.48936170212765,12,4,2.8368794326241136,33.33333333333333,1,0.7092198581560284,8.333333333333332,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,4.964539007092199,58.333333333333336,4,2.8368794326241136,137,97.16312056737588,14,9.929078014184398,127,90.0709219858156,55,50,90.9090909090909,5,9.090909090909092,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,0.9914535861390931,634.529315565,142.21543193875624,55.47410465696166,0.22221195544677116,0.08667842233739301,Fairfield CDP,Sumner
