NAME,GEO_ID,2017,2020,2025,2035,2045
"Cheatham County, Tennessee",0500000US47021,14999,15598,16641,18551,20304
"Davidson County, Tennessee",0500000US47037,638807,663935,708262,794173,864682
"Dickson County, Tennessee",1600000US4720620,25580,26652,28417,31114,33019
"Houston County, Tennessee",0500000US47083,2606,2728,2954,3365,3719
"Humphreys County, Tennessee",0500000US47085,8813,9027,9419,10092,10660
"Maury County, Tennessee",0500000US47119,49375,51383,54926,61867,68147
"Montgomery County, Tennessee",0500000US47125,75683,80329,88583,106240,125716
"Robertson County, Tennessee",0500000US47147,34770,36502,39524,45556,51705
"Rutherford County, Tennessee",0500000US47149,171497,181071,198139,234096,272170
"Stewart County, Tennessee",0500000US47161,4537,4703,4993,5465,5867
"Sumner County, Tennessee",0500000US47165,85329,89986,98099,113292,128640
"Williamson County, Tennessee",0500000US47187,195115,212242,244222,319082,408236
"Wilson County, Tennessee",0500000US47189,67948,72472,80759,99238,120231
"Trousdale County, Tennessee",0500000US47169,2863,2973,3194,3660,4177
Cheatham Incorporated,,12553,13042,13870,15444,16813
Davidson Incorporated,,638807,663935,708262,794173,864682
Dickson Incorporated,,22502,23579,25345,28050,29975
Houston Incorporated,,1734,1821,1990,2278,2476
Humphreys Incorporated,,5652,5840,6190,6764,7280
Maury Incorporated,,45272,47093,50284,56616,62435
Montgomery Incorporated,,64572,68810,76417,92532,110162
Robertson Incorporated,,29994,31467,34023,39120,44175
Rutherford Incorporated,,162188,171277,187453,221294,256927
Stewart Incorporated,,3191,3297,3463,3676,3841
Sumner Incorporated,,80968,85447,93261,107897,122688
Williamson Incorporated,,186829,203327,233698,302836,381082
Wilson Incorporated,,60061,64292,72046,89388,109021
Cheatham Unincorporated,,2446,2556,2771,3107,3491
Davidson Unincorporated,,0,0,0,0,0
Dickson Unincorporated,,3078,3073,3072,3064,3044
Houston Unincorporated,,872,907,964,1087,1243
Humphreys Unincorporated,,3161,3187,3229,3328,3380
Maury Unincorporated,,4103,4290,4642,5251,5712
Montgomery Unincorporatede,,11111,11519,12166,13708,15554
Robertson Unincorporated,,4776,5035,5501,6436,7530
Rutherford Unincorporated,,9309,9794,10686,12802,15243
Stewart Unincorporated,,1346,1406,1530,1789,2026
Sumner Unincorporated,,4361,4539,4838,5395,5952
Williamson Unincorporated,,8286,8915,10524,16246,27154
Wilson Unincorporated,,7887,8180,8713,9850,11210
"Adams city, Tennessee",1600000US4700200,243,268,313,428,589
"Ashland City town, Tennessee",1600000US4702180,7858,8044,8395,9019,9538
"Belle Meade city, Tennessee",1600000US4704620,1842,1867,1924,2006,2102
"Berry Hill city, Tennessee",1600000US4705140,8220,8929,10255,12487,14661
"Brentwood city, Tennessee",1600000US4708280,70273,73113,78736,90116,101904
"Burns town, Tennessee",1600000US4709880,584,607,652,724,791
"Cedar Hill city, Tennessee",1600000US4711980,164,173,195,231,286
"Charlotte town, Tennessee",1600000US4713080,5002,5039,5101,5173,5187
"Clarksville city, Tennessee",1600000US4715160,64572,68810,76417,92532,110162
"Columbia city, Tennessee",1600000US4716540,32154,33844,36930,42917,48483
"Coopertown town, Tennessee",1600000US4716980,1009,1064,1186,1428,1697
"Cross Plains city, Tennessee",1600000US4718420,415,474,564,752,979
"Cumberland City town, Tennessee",1600000US4718820,763,774,783,788,789
"Dickson city, Tennessee",1600000US4720620,15439,16364,17881,20277,22024
"Dover city, Tennessee",1600000US4721400,2428,2523,2680,2888,3052
"Eagleville city, Tennessee",1600000US4722360,734,803,916,1090,1277
"Erin city, Tennessee",1600000US4724320,1311,1388,1537,1772,1921
"Fairview city, Tennessee",1600000US4725440,3377,4131,5800,10779,19300
"Forest Hills city, Tennessee",1600000US4727020,812,828,854,913,955
"Franklin city, Tennessee",1600000US4727740,104988,116541,137300,183621,231977
"Gallatin city, Tennessee",1600000US4728540,28626,30403,33452,39537,45859
"Goodlettsville city, Tennessee",1600000US4729920,17216,18048,19758,22337,24856
"Greenbrier town, Tennessee",1600000US4730960,1780,1894,2120,2636,3211
"Hendersonville city, Tennessee",1600000US4733280,34095,35895,39078,44811,50552
"Kingston Springs town, Tennessee",1600000US4739660,1716,1835,2031,2409,2676
"La Vergne city, Tennessee",1600000US4741200,20548,21857,24353,29319,34625
"La Vergne city, Tennessee",1600000US4741200,20548,21857,24353,29319,34625
"La Vergne city, Tennessee",1600000US4741200,0,0,0,0,0
"Lebanon city, Tennessee",1600000US4741520,40028,43153,48343,60202,73563
"McEwen city, Tennessee",1600000US4744840,620,647,696,779,841
"Millersville city, Tennessee",1600000US4748980,1563,1721,2001,2477,2925
"Mitchellville city, Tennessee",1600000US4749460,53,62,78,102,125
"Mount Juliet city, Tennessee",1600000US4750780,19215,20237,22641,27845,33841
"Mount Pleasant city, Tennessee",1600000US4751080,3770,3724,3670,3547,3422
"Murfreesboro city, Tennessee",1600000US4751560,94310,99593,109067,128831,148984
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,613044,636630,677921,758962,824692
"New Johnsonville city, Tennessee",1600000US4752820,1299,1303,1335,1346,1371
"Nolensville town, Tennessee",1600000US4753460,2547,3187,4340,7904,14813
"Oak Hill city, Tennessee",1600000US4754780,1191,1268,1390,1600,1806
"Pegram town, Tennessee",1600000US4757480,574,582,598,630,668
"Pleasant View city, Tennessee",1600000US4759560,2403,2576,2841,3377,3921
"Portland city, Tennessee",1600000US4760280,11241,11892,13061,15263,17533
"Ridgetop city, Tennessee",1600000US4763140,1843,1879,1961,2073,2201
"Slayden town, Tennessee",1600000US4769080,1,2,2,2,3
"Smyrna town, Tennessee",1600000US4769420,46596,49024,53117,62054,72041
"Spring Hill city, Tennessee",1600000US4770580,13793,14490,15444,17935,19933
"Springfield city, Tennessee",1600000US4770500,17687,18377,19580,21820,23729
"Tennessee Ridge town, Tennessee",1600000US4773460,423,433,453,506,555
"Thompson's Station town, Tennessee",1600000US4773900,1179,1370,1742,2613,3665
"Vanleer town, Tennessee",1600000US4776860,133,137,147,157,164
"Watertown city, Tennessee",1600000US4778320,748,832,988,1259,1527
"Waverly city, Tennessee",1600000US4778560,3733,3890,4159,4639,5068
"Westmoreland town, Tennessee",1600000US4779420,1312,1354,1460,1647,1832
"White Bluff town, Tennessee",1600000US4779980,1347,1434,1566,1721,1810
"White House city, Tennessee",1600000US4780200,7501,7914,8490,9787,11071
GNRC,,1328547,1398218,1523206,1783924,2049126
MPO,,1242841,1307591,1423931,1667304,1913811
GNRC Region,,1377922,1449601,1578132,1845791,2117273
